source,title,text,date,link,url,html_output
Space.com,SpaceX stacks Starship SN8 prototype ahead of epic test flight,SpaceX&apos;s latest Starship prototype has been stacked in preparation for an ambitious test flight that will take the vehicle far higher than any of its ...,2020-10-23T19:14:27.527Z,https://www.space.com/starship-sn8-prototype-stacked-test-flight,https://www.google.com/search?biw=1440&bih=766&tbm=nws&ei=quyHX9b1A4XisAfm36v4Bg&q=spacex&oq=spacex&gs_l=psy-ab.3...11207.12485.0.13613.6.6.0.0.0.0.167.709.0j5.5.0....0...1c.1.64.psy-ab..1.0.0....0.ZyQ7EkX7oDo,https://scrapezone-raw-htmls.s3.amazonaws.com/0cfeb265-4d88-4792-8d19-cd7b040d1917-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231427Z&X-Amz-Expires=604800&X-Amz-Signature=2a3893923787349c18d74ac38457459dd88bb0452219e5e89d5fa77355aa203f&X-Amz-SignedHeaders=host
Ars Technica,Rocket Report: Bank doubles value of SpaceX Russia won&#x2019;t talk Amur anymore,Welcome to Edition 3.21 of the Rocket Report. As of Friday morning there are just 70 days left until January 1. This means that if your rocket ...,2020-10-23T11:14:27.527Z,https://arstechnica.com/science/2020/10/rocket-report-bank-doubles-value-of-spacex-russia-wont-talk-amur-anymore/,https://www.google.com/search?biw=1440&bih=766&tbm=nws&ei=quyHX9b1A4XisAfm36v4Bg&q=spacex&oq=spacex&gs_l=psy-ab.3...11207.12485.0.13613.6.6.0.0.0.0.167.709.0j5.5.0....0...1c.1.64.psy-ab..1.0.0....0.ZyQ7EkX7oDo,https://scrapezone-raw-htmls.s3.amazonaws.com/0cfeb265-4d88-4792-8d19-cd7b040d1917-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231427Z&X-Amz-Expires=604800&X-Amz-Signature=2a3893923787349c18d74ac38457459dd88bb0452219e5e89d5fa77355aa203f&X-Amz-SignedHeaders=host
Inverse,Lunar SpaceX Starship: Stunning photo shows NASA-branded ship taking shape,SpaceX&apos;s Starship is under construction at the company&apos;s Boca Chica facility and a new photo suggests SpaceX is already planning trips to the ...,2020-10-23T13:14:27.528Z,https://www.inverse.com/innovation/lunar-spacex-starship-stunning-photo-shows-nasa-branded-ship-taking-shape,https://www.google.com/search?biw=1440&bih=766&tbm=nws&ei=quyHX9b1A4XisAfm36v4Bg&q=spacex&oq=spacex&gs_l=psy-ab.3...11207.12485.0.13613.6.6.0.0.0.0.167.709.0j5.5.0....0...1c.1.64.psy-ab..1.0.0....0.ZyQ7EkX7oDo,https://scrapezone-raw-htmls.s3.amazonaws.com/0cfeb265-4d88-4792-8d19-cd7b040d1917-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231427Z&X-Amz-Expires=604800&X-Amz-Signature=2a3893923787349c18d74ac38457459dd88bb0452219e5e89d5fa77355aa203f&X-Amz-SignedHeaders=host
Forbes,Elon Musk&apos;s SpaceX Gets Bullish $100 Billion Valuation From Morgan Stanley Double What Investors Said It Was Worth In August,The investment bank says that SpaceX&apos;s Starlink internet-from-satellites service has driven a near $50 billion increase in the rocket company&apos;s ...,2020-10-23T16:14:27.528Z,https://www.forbes.com/sites/daviddawkins/2020/10/23/elon-musks-spacex-gets-bullish-100-billion-valuation-from-morgan-stanley-double-what-investors-said-it-was-worth-in-august/,https://www.google.com/search?biw=1440&bih=766&tbm=nws&ei=quyHX9b1A4XisAfm36v4Bg&q=spacex&oq=spacex&gs_l=psy-ab.3...11207.12485.0.13613.6.6.0.0.0.0.167.709.0j5.5.0....0...1c.1.64.psy-ab..1.0.0....0.ZyQ7EkX7oDo,https://scrapezone-raw-htmls.s3.amazonaws.com/0cfeb265-4d88-4792-8d19-cd7b040d1917-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231427Z&X-Amz-Expires=604800&X-Amz-Signature=2a3893923787349c18d74ac38457459dd88bb0452219e5e89d5fa77355aa203f&X-Amz-SignedHeaders=host
Business Insider,Elon Musk&apos;s Starlink is on a stunning but controversial winning streak - Business Insider,SpaceX is ahead of competitors with its internet-beaming satellites. But they could create crowded paths to orbit telescope glare and other ...,2020-10-22T23:14:27.528Z,https://www.businessinsider.com/spacex-starlink-satellite-internet-beta-testing-public-service-licensing-military-2020-10,https://www.google.com/search?biw=1440&bih=766&tbm=nws&ei=quyHX9b1A4XisAfm36v4Bg&q=spacex&oq=spacex&gs_l=psy-ab.3...11207.12485.0.13613.6.6.0.0.0.0.167.709.0j5.5.0....0...1c.1.64.psy-ab..1.0.0....0.ZyQ7EkX7oDo,https://scrapezone-raw-htmls.s3.amazonaws.com/0cfeb265-4d88-4792-8d19-cd7b040d1917-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231427Z&X-Amz-Expires=604800&X-Amz-Signature=2a3893923787349c18d74ac38457459dd88bb0452219e5e89d5fa77355aa203f&X-Amz-SignedHeaders=host
Spaceflight Now,Live coverage: SpaceX scrubs launch attempt at Cape Canaveral,If you would like to see more articles like this please support our coverage of the space program by becoming a Spaceflight Now Member.,2020-10-21T23:14:27.529Z,https://spaceflightnow.com/2020/10/21/falcon-9-starlink-14-mission-status-center/,https://www.google.com/search?biw=1440&bih=766&tbm=nws&ei=quyHX9b1A4XisAfm36v4Bg&q=spacex&oq=spacex&gs_l=psy-ab.3...11207.12485.0.13613.6.6.0.0.0.0.167.709.0j5.5.0....0...1c.1.64.psy-ab..1.0.0....0.ZyQ7EkX7oDo,https://scrapezone-raw-htmls.s3.amazonaws.com/0cfeb265-4d88-4792-8d19-cd7b040d1917-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231427Z&X-Amz-Expires=604800&X-Amz-Signature=2a3893923787349c18d74ac38457459dd88bb0452219e5e89d5fa77355aa203f&X-Amz-SignedHeaders=host
SpaceNews,Space Force official: Launch scrubs are no reason to despair,The recent streak of launch scrubs proves that systems are working like they should said Col. Douglas Pentecost.,2020-10-22T23:14:27.529Z,https://spacenews.com/space-force-official-launch-scrubs-are-no-reason-to-despair/,https://www.google.com/search?biw=1440&bih=766&tbm=nws&ei=quyHX9b1A4XisAfm36v4Bg&q=spacex&oq=spacex&gs_l=psy-ab.3...11207.12485.0.13613.6.6.0.0.0.0.167.709.0j5.5.0....0...1c.1.64.psy-ab..1.0.0....0.ZyQ7EkX7oDo,https://scrapezone-raw-htmls.s3.amazonaws.com/0cfeb265-4d88-4792-8d19-cd7b040d1917-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231427Z&X-Amz-Expires=604800&X-Amz-Signature=2a3893923787349c18d74ac38457459dd88bb0452219e5e89d5fa77355aa203f&X-Amz-SignedHeaders=host
NASA,NASA Invites Media to Next SpaceX Space Station Cargo Launch,Media accreditation is open for the launch of the next SpaceX delivery of NASA science investigations supplies and equipment to the ...,2020-10-23T17:14:27.529Z,https://www.nasa.gov/press-release/nasa-invites-media-to-next-spacex-space-station-cargo-launch-1,https://www.google.com/search?biw=1440&bih=766&tbm=nws&ei=quyHX9b1A4XisAfm36v4Bg&q=spacex&oq=spacex&gs_l=psy-ab.3...11207.12485.0.13613.6.6.0.0.0.0.167.709.0j5.5.0....0...1c.1.64.psy-ab..1.0.0....0.ZyQ7EkX7oDo,https://scrapezone-raw-htmls.s3.amazonaws.com/0cfeb265-4d88-4792-8d19-cd7b040d1917-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231427Z&X-Amz-Expires=604800&X-Amz-Signature=2a3893923787349c18d74ac38457459dd88bb0452219e5e89d5fa77355aa203f&X-Amz-SignedHeaders=host
Investor&apos;s Business Daily,Defense Stocks New Leader Could Soon Be SpaceX As Starlink Military Business Grows,SpaceX&apos;s valuation could exceed the market caps of the top aerospace and defense stocks according to Wall Street even overtaking ...,2020-10-22T23:14:27.529Z,https://www.investors.com/news/defense-stocks-spacex-most-valuable-lockheed-boeing/,https://www.google.com/search?biw=1440&bih=766&tbm=nws&ei=quyHX9b1A4XisAfm36v4Bg&q=spacex&oq=spacex&gs_l=psy-ab.3...11207.12485.0.13613.6.6.0.0.0.0.167.709.0j5.5.0....0...1c.1.64.psy-ab..1.0.0....0.ZyQ7EkX7oDo,https://scrapezone-raw-htmls.s3.amazonaws.com/0cfeb265-4d88-4792-8d19-cd7b040d1917-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231427Z&X-Amz-Expires=604800&X-Amz-Signature=2a3893923787349c18d74ac38457459dd88bb0452219e5e89d5fa77355aa203f&X-Amz-SignedHeaders=host
CNBC,Morgan Stanley expects SpaceX will be a $100 billion company thanks to Starlink and Starship,Morgan Stanley doubled its long-term valuation estimate for Elon Musk&apos;s SpaceX on Thursday to more than $100 billion.,2020-10-22T23:14:27.530Z,https://www.cnbc.com/2020/10/22/morgan-stanley-spacex-to-be-100-billion-company-due-to-starlink-starship.html,https://www.google.com/search?biw=1440&bih=766&tbm=nws&ei=quyHX9b1A4XisAfm36v4Bg&q=spacex&oq=spacex&gs_l=psy-ab.3...11207.12485.0.13613.6.6.0.0.0.0.167.709.0j5.5.0....0...1c.1.64.psy-ab..1.0.0....0.ZyQ7EkX7oDo,https://scrapezone-raw-htmls.s3.amazonaws.com/0cfeb265-4d88-4792-8d19-cd7b040d1917-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231427Z&X-Amz-Expires=604800&X-Amz-Signature=2a3893923787349c18d74ac38457459dd88bb0452219e5e89d5fa77355aa203f&X-Amz-SignedHeaders=host
OpIndia,Rahul Gandhi claims China has occupied half of India as he says that Chinese forces have intruded 1200 km into Indian territory,If one believes Rahul Gandhi&apos;s statements of China occupying nearly 1 200 km of Indian lands then according to him at least half of Indian ...,2020-10-23T10:14:28.679Z,https://www.opindia.com/2020/10/rahul-gandhi-claims-that-china-have-intruded-1200-km-into-indian-territory/,https://www.google.com/search?q=gandhi&source=lnms&tbm=nws&sa=X&ved=2ahUKEwiG4I3s_LXsAhUR_qQKHXc4DIIQ_AUoA3oECAYQBQ&biw=1440&bih=766,https://scrapezone-raw-htmls.s3.amazonaws.com/da832627-fff6-4e90-a6e4-ebda7d7b4e4a-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231428Z&X-Amz-Expires=604800&X-Amz-Signature=2074c617da79b93c7f62b066213f597a06b7f37e6fec78219d798219c3802c70&X-Amz-SignedHeaders=host
Times of India,PM &apos;insulted&apos; soldiers when he said nobody intruded into Ladakh: Rahul Gandhi,HISUA: Congress leader Rahul Gandhi Friday again accused Prime Minister Narendra Modi of having &quot;insulted&quot; the soldiers with his comment ...,2020-10-23T09:14:28.680Z,https://timesofindia.indiatimes.com/india/pm-insulted-soldiers-when-he-said-nobody-intruded-into-ladakh-rahul-gandhi/articleshow/78825807.cms,https://www.google.com/search?q=gandhi&source=lnms&tbm=nws&sa=X&ved=2ahUKEwiG4I3s_LXsAhUR_qQKHXc4DIIQ_AUoA3oECAYQBQ&biw=1440&bih=766,https://scrapezone-raw-htmls.s3.amazonaws.com/da832627-fff6-4e90-a6e4-ebda7d7b4e4a-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231428Z&X-Amz-Expires=604800&X-Amz-Signature=2074c617da79b93c7f62b066213f597a06b7f37e6fec78219d798219c3802c70&X-Amz-SignedHeaders=host
Deccan Herald,PM Modi insulted jawans: Rahul Gandhi on his &apos;nobody intruded in Ladakh&apos; remark,Addressing his first rally during the Bihar assembly elections Gandhi insisted the Chinese army had indeed intruded into Indian territory. &quot;They ...,2020-10-23T10:14:28.681Z,https://www.deccanherald.com/election-2020/pm-modi-insulted-jawans-rahul-gandhi-on-his-nobody-intruded-in-ladakh-remark-905985.html,https://www.google.com/search?q=gandhi&source=lnms&tbm=nws&sa=X&ved=2ahUKEwiG4I3s_LXsAhUR_qQKHXc4DIIQ_AUoA3oECAYQBQ&biw=1440&bih=766,https://scrapezone-raw-htmls.s3.amazonaws.com/da832627-fff6-4e90-a6e4-ebda7d7b4e4a-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231428Z&X-Amz-Expires=604800&X-Amz-Signature=2074c617da79b93c7f62b066213f597a06b7f37e6fec78219d798219c3802c70&X-Amz-SignedHeaders=host
Balkan Insight,Mahatma Gandhi Statue Unveiled in Bulgaria,A bronze statue of Mahatma Gandhi the Indian anti-colonial activist lawyer and advocate of non-violent resistance was inaugurated in the ...,2020-10-20T23:14:28.682Z,https://balkaninsight.com/2020/10/20/mahatma-gandhi-statue-unveiled-in-bulgaria/,https://www.google.com/search?q=gandhi&source=lnms&tbm=nws&sa=X&ved=2ahUKEwiG4I3s_LXsAhUR_qQKHXc4DIIQ_AUoA3oECAYQBQ&biw=1440&bih=766,https://scrapezone-raw-htmls.s3.amazonaws.com/da832627-fff6-4e90-a6e4-ebda7d7b4e4a-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231428Z&X-Amz-Expires=604800&X-Amz-Signature=2074c617da79b93c7f62b066213f597a06b7f37e6fec78219d798219c3802c70&X-Amz-SignedHeaders=host
CNN,In pictures: Mahatma Gandhi,Gandhi was born Mohandas Karamchand Gandhi. He wasn&apos;t known as the title Mahatma which translates to &quot;Great Soul &quot; until 1914. He was a ...,2020-10-02T23:14:28.683Z,https://www.cnn.com/2020/10/01/world/gallery/gandhi-life-in-pictures/index.html,https://www.google.com/search?q=gandhi&source=lnms&tbm=nws&sa=X&ved=2ahUKEwiG4I3s_LXsAhUR_qQKHXc4DIIQ_AUoA3oECAYQBQ&biw=1440&bih=766,https://scrapezone-raw-htmls.s3.amazonaws.com/da832627-fff6-4e90-a6e4-ebda7d7b4e4a-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231428Z&X-Amz-Expires=604800&X-Amz-Signature=2074c617da79b93c7f62b066213f597a06b7f37e6fec78219d798219c3802c70&X-Amz-SignedHeaders=host
Times of India,A book on Gandhi and his relevance amid the pandemic,Mahatma Gandhi&apos;s cultural analysis and emphasis on collective welfare would be helpful to achieve social and economic equilibrium in the ...,2020-10-22T23:14:28.684Z,https://timesofindia.indiatimes.com/city/chandigarh/a-book-on-gandhi-and-his-relevance-amid-the-pandemic/articleshow/78814879.cms,https://www.google.com/search?q=gandhi&source=lnms&tbm=nws&sa=X&ved=2ahUKEwiG4I3s_LXsAhUR_qQKHXc4DIIQ_AUoA3oECAYQBQ&biw=1440&bih=766,https://scrapezone-raw-htmls.s3.amazonaws.com/da832627-fff6-4e90-a6e4-ebda7d7b4e4a-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231428Z&X-Amz-Expires=604800&X-Amz-Signature=2074c617da79b93c7f62b066213f597a06b7f37e6fec78219d798219c3802c70&X-Amz-SignedHeaders=host
