title,link,displayed_link,snippet,cached_page_link,related_pages_link,position,url,html_output
,,,,,,3,https://www.google.com/search?q=spacex&source=lnms&sa=X&ved=0ahUKEwjq28Pe_LXsAhXMDOwKHci4CIUQ_AUIDigA&biw=1440&bih=766&dpr=2,https://scrapezone-raw-htmls.s3.amazonaws.com/c30df87b-ad4c-4168-ad9b-6440ae3cb514-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231738Z&X-Amz-Expires=604800&X-Amz-Signature=6754c6a0872afc3fd0ab60f69f9d07d72bec5c39120c401405ecb697809a26ed&X-Amz-SignedHeaders=host
,,,,,,4,https://www.google.com/search?q=spacex&source=lnms&sa=X&ved=0ahUKEwjq28Pe_LXsAhXMDOwKHci4CIUQ_AUIDigA&biw=1440&bih=766&dpr=2,https://scrapezone-raw-htmls.s3.amazonaws.com/c30df87b-ad4c-4168-ad9b-6440ae3cb514-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231738Z&X-Amz-Expires=604800&X-Amz-Signature=6754c6a0872afc3fd0ab60f69f9d07d72bec5c39120c401405ecb697809a26ed&X-Amz-SignedHeaders=host
SpaceX stacks Starship SN8 prototype ahead of epic test flight ...,https://www.space.com/starship-sn8-prototype-stacked-test-flight,www.space.com › starship-sn8-prototype-stacked-test-fl...,5 hours ago — SpaceX's latest Starship prototype has been stacked in preparation for an ambitious test flight that will take the vehicle far higher than any of its&nbsp;...,,,5,https://www.google.com/search?q=spacex&source=lnms&sa=X&ved=0ahUKEwjq28Pe_LXsAhXMDOwKHci4CIUQ_AUIDigA&biw=1440&bih=766&dpr=2,https://scrapezone-raw-htmls.s3.amazonaws.com/c30df87b-ad4c-4168-ad9b-6440ae3cb514-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231738Z&X-Amz-Expires=604800&X-Amz-Signature=6754c6a0872afc3fd0ab60f69f9d07d72bec5c39120c401405ecb697809a26ed&X-Amz-SignedHeaders=host
SpaceX - Wikipedia,https://en.wikipedia.org/wiki/SpaceX,en.wikipedia.org › wiki › SpaceX,Space Exploration Technologies Corp. (SpaceX) is an American aerospace manufacturer and space transportation services company headquartered in&nbsp;...,,,6,https://www.google.com/search?q=spacex&source=lnms&sa=X&ved=0ahUKEwjq28Pe_LXsAhXMDOwKHci4CIUQ_AUIDigA&biw=1440&bih=766&dpr=2,https://scrapezone-raw-htmls.s3.amazonaws.com/c30df87b-ad4c-4168-ad9b-6440ae3cb514-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231738Z&X-Amz-Expires=604800&X-Amz-Signature=6754c6a0872afc3fd0ab60f69f9d07d72bec5c39120c401405ecb697809a26ed&X-Amz-SignedHeaders=host
SpaceX - YouTube,https://www.youtube.com/channel/UCtI0Hodo5o5dUb67FeUjDeA,www.youtube.com › channel,"SpaceX designs, manufactures and launches the world's most advanced rockets and spacecraft.",,,7,https://www.google.com/search?q=spacex&source=lnms&sa=X&ved=0ahUKEwjq28Pe_LXsAhXMDOwKHci4CIUQ_AUIDigA&biw=1440&bih=766&dpr=2,https://scrapezone-raw-htmls.s3.amazonaws.com/c30df87b-ad4c-4168-ad9b-6440ae3cb514-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231738Z&X-Amz-Expires=604800&X-Amz-Signature=6754c6a0872afc3fd0ab60f69f9d07d72bec5c39120c401405ecb697809a26ed&X-Amz-SignedHeaders=host
SpaceX (@spacex) • Instagram photos and videos,https://www.instagram.com/spacex/?hl=en,www.instagram.com › spacex,"8.1m Followers, 3 Following, 348 Posts - See Instagram photos and videos from SpaceX (@spacex)",,,8,https://www.google.com/search?q=spacex&source=lnms&sa=X&ved=0ahUKEwjq28Pe_LXsAhXMDOwKHci4CIUQ_AUIDigA&biw=1440&bih=766&dpr=2,https://scrapezone-raw-htmls.s3.amazonaws.com/c30df87b-ad4c-4168-ad9b-6440ae3cb514-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231738Z&X-Amz-Expires=604800&X-Amz-Signature=6754c6a0872afc3fd0ab60f69f9d07d72bec5c39120c401405ecb697809a26ed&X-Amz-SignedHeaders=host
Mahatma Gandhi - Wikipedia,https://en.wikipedia.org/wiki/Mahatma_Gandhi,en.wikipedia.org › wiki › Mahatma_Gandhi,"Mohandas Karamchand Gandhi was an Indian lawyer, anti-colonial nationalist, and political ethicist, who employed nonviolent resistance to lead the successful&nbsp;...",,,1,https://www.google.com/search?biw=1440&bih=766&ei=weyHX5LdCIK0sAfcrLmoCg&q=ghandi&oq=ghandi&gs_lcp=CgZwc3ktYWIQAzIHCC4QQxCTAjIECAAQCjIECAAQCjIECAAQCjIECC4QCjIECAAQCjIECAAQCjIECAAQCjIECAAQCjIECAAQCjoECAAQRzoECAAQQzoECC4QQzoCCC46AggAUMWEAVi3jwFgupIBaABwA3gAgAGnAYgBkweSAQMwLjaYAQCgAQGqAQdnd3Mtd2l6yAEIwAEB&sclient=psy-ab&ved=0ahUKEwjSwdji_LXsAhUCGuwKHVxWDqUQ4dUDCA0&uact=5,https://scrapezone-raw-htmls.s3.amazonaws.com/c575eb2d-7684-4634-bf0d-72bd83d37937-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231739Z&X-Amz-Expires=604800&X-Amz-Signature=03b92f7b050b95bc3a9f4716c1e33cf705bfbee04a6b8c17538e0e38cb1062d5&X-Amz-SignedHeaders=host
,,,,,,2,https://www.google.com/search?biw=1440&bih=766&ei=weyHX5LdCIK0sAfcrLmoCg&q=ghandi&oq=ghandi&gs_lcp=CgZwc3ktYWIQAzIHCC4QQxCTAjIECAAQCjIECAAQCjIECAAQCjIECC4QCjIECAAQCjIECAAQCjIECAAQCjIECAAQCjIECAAQCjoECAAQRzoECAAQQzoECC4QQzoCCC46AggAUMWEAVi3jwFgupIBaABwA3gAgAGnAYgBkweSAQMwLjaYAQCgAQGqAQdnd3Mtd2l6yAEIwAEB&sclient=psy-ab&ved=0ahUKEwjSwdji_LXsAhUCGuwKHVxWDqUQ4dUDCA0&uact=5,https://scrapezone-raw-htmls.s3.amazonaws.com/c575eb2d-7684-4634-bf0d-72bd83d37937-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231739Z&X-Amz-Expires=604800&X-Amz-Signature=03b92f7b050b95bc3a9f4716c1e33cf705bfbee04a6b8c17538e0e38cb1062d5&X-Amz-SignedHeaders=host
Mahatma Gandhi | Biography Accomplishments &amp; Facts ...,https://www.britannica.com/biography/Mahatma-Gandhi,www.britannica.com › biography › Mahatma-Gandhi,"Sep 28, 2020 — Mahatma Gandhi, byname of Mohandas Karamchand Gandhi, (born October 2, 1869, Porbandar, India—died January 30, 1948, Delhi), Indian lawyer, politician, social activist, and writer who became the leader of the nationalist movement against the British rule of India.",,,3,https://www.google.com/search?biw=1440&bih=766&ei=weyHX5LdCIK0sAfcrLmoCg&q=ghandi&oq=ghandi&gs_lcp=CgZwc3ktYWIQAzIHCC4QQxCTAjIECAAQCjIECAAQCjIECAAQCjIECC4QCjIECAAQCjIECAAQCjIECAAQCjIECAAQCjIECAAQCjoECAAQRzoECAAQQzoECC4QQzoCCC46AggAUMWEAVi3jwFgupIBaABwA3gAgAGnAYgBkweSAQMwLjaYAQCgAQGqAQdnd3Mtd2l6yAEIwAEB&sclient=psy-ab&ved=0ahUKEwjSwdji_LXsAhUCGuwKHVxWDqUQ4dUDCA0&uact=5,https://scrapezone-raw-htmls.s3.amazonaws.com/c575eb2d-7684-4634-bf0d-72bd83d37937-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231739Z&X-Amz-Expires=604800&X-Amz-Signature=03b92f7b050b95bc3a9f4716c1e33cf705bfbee04a6b8c17538e0e38cb1062d5&X-Amz-SignedHeaders=host
Mahatma Gandhi - South Africa Salt March &amp; Assassination ...,https://www.biography.com/activist/mahatma-gandhi,www.biography.com › activist › mahatma-gandhi,"Apr 2, 2014 — Mahatma Gandhi was the leader of India's non-violent independence movement against British rule and in South Africa who advocated for the&nbsp;...",,,4,https://www.google.com/search?biw=1440&bih=766&ei=weyHX5LdCIK0sAfcrLmoCg&q=ghandi&oq=ghandi&gs_lcp=CgZwc3ktYWIQAzIHCC4QQxCTAjIECAAQCjIECAAQCjIECAAQCjIECC4QCjIECAAQCjIECAAQCjIECAAQCjIECAAQCjIECAAQCjoECAAQRzoECAAQQzoECC4QQzoCCC46AggAUMWEAVi3jwFgupIBaABwA3gAgAGnAYgBkweSAQMwLjaYAQCgAQGqAQdnd3Mtd2l6yAEIwAEB&sclient=psy-ab&ved=0ahUKEwjSwdji_LXsAhUCGuwKHVxWDqUQ4dUDCA0&uact=5,https://scrapezone-raw-htmls.s3.amazonaws.com/c575eb2d-7684-4634-bf0d-72bd83d37937-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231739Z&X-Amz-Expires=604800&X-Amz-Signature=03b92f7b050b95bc3a9f4716c1e33cf705bfbee04a6b8c17538e0e38cb1062d5&X-Amz-SignedHeaders=host
Mohandas Gandhi - Biography Facts &amp; Beliefs - HISTORY,https://www.history.com/topics/india/mahatma-gandhi,www.history.com › topics › india › mahatma-gandhi,"Jul 30, 2010 — Mohandas Karamchand Gandhi was leader of India's nonviolent independence movement against British rule. He was revered the world over&nbsp;...",,,5,https://www.google.com/search?biw=1440&bih=766&ei=weyHX5LdCIK0sAfcrLmoCg&q=ghandi&oq=ghandi&gs_lcp=CgZwc3ktYWIQAzIHCC4QQxCTAjIECAAQCjIECAAQCjIECAAQCjIECC4QCjIECAAQCjIECAAQCjIECAAQCjIECAAQCjIECAAQCjoECAAQRzoECAAQQzoECC4QQzoCCC46AggAUMWEAVi3jwFgupIBaABwA3gAgAGnAYgBkweSAQMwLjaYAQCgAQGqAQdnd3Mtd2l6yAEIwAEB&sclient=psy-ab&ved=0ahUKEwjSwdji_LXsAhUCGuwKHVxWDqUQ4dUDCA0&uact=5,https://scrapezone-raw-htmls.s3.amazonaws.com/c575eb2d-7684-4634-bf0d-72bd83d37937-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231739Z&X-Amz-Expires=604800&X-Amz-Signature=03b92f7b050b95bc3a9f4716c1e33cf705bfbee04a6b8c17538e0e38cb1062d5&X-Amz-SignedHeaders=host
An odd kind of piety: The truth about Gandhi's sex life | The ...,https://www.independent.co.uk/arts-entertainment/books/features/thrill-of-the-chaste-the-truth-about-gandhis-sex-life-1937411.html,www.independent.co.uk › Culture › Books › Features,"Jan 2, 2012 — But was there something more complex than a pious plea for chastity at play in Gandhi's beliefs, preachings and even his unusual personal&nbsp;...",,,6,https://www.google.com/search?biw=1440&bih=766&ei=weyHX5LdCIK0sAfcrLmoCg&q=ghandi&oq=ghandi&gs_lcp=CgZwc3ktYWIQAzIHCC4QQxCTAjIECAAQCjIECAAQCjIECAAQCjIECC4QCjIECAAQCjIECAAQCjIECAAQCjIECAAQCjIECAAQCjoECAAQRzoECAAQQzoECC4QQzoCCC46AggAUMWEAVi3jwFgupIBaABwA3gAgAGnAYgBkweSAQMwLjaYAQCgAQGqAQdnd3Mtd2l6yAEIwAEB&sclient=psy-ab&ved=0ahUKEwjSwdji_LXsAhUCGuwKHVxWDqUQ4dUDCA0&uact=5,https://scrapezone-raw-htmls.s3.amazonaws.com/c575eb2d-7684-4634-bf0d-72bd83d37937-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231739Z&X-Amz-Expires=604800&X-Amz-Signature=03b92f7b050b95bc3a9f4716c1e33cf705bfbee04a6b8c17538e0e38cb1062d5&X-Amz-SignedHeaders=host
Gandhi for the Post-Truth Age | The New Yorker,https://www.newyorker.com/magazine/2018/10/22/gandhi-for-the-post-truth-age,www.newyorker.com › magazine › 2018/10/22 › gand...,"Oct 22, 2018 — It covers the most widely known part of Gandhi's life—the four decades, following his South African sojourn, when he emerged as the leader of the&nbsp;...",,,7,https://www.google.com/search?biw=1440&bih=766&ei=weyHX5LdCIK0sAfcrLmoCg&q=ghandi&oq=ghandi&gs_lcp=CgZwc3ktYWIQAzIHCC4QQxCTAjIECAAQCjIECAAQCjIECAAQCjIECC4QCjIECAAQCjIECAAQCjIECAAQCjIECAAQCjIECAAQCjoECAAQRzoECAAQQzoECC4QQzoCCC46AggAUMWEAVi3jwFgupIBaABwA3gAgAGnAYgBkweSAQMwLjaYAQCgAQGqAQdnd3Mtd2l6yAEIwAEB&sclient=psy-ab&ved=0ahUKEwjSwdji_LXsAhUCGuwKHVxWDqUQ4dUDCA0&uact=5,https://scrapezone-raw-htmls.s3.amazonaws.com/c575eb2d-7684-4634-bf0d-72bd83d37937-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231739Z&X-Amz-Expires=604800&X-Amz-Signature=03b92f7b050b95bc3a9f4716c1e33cf705bfbee04a6b8c17538e0e38cb1062d5&X-Amz-SignedHeaders=host
